isTs	is1stLast	prevCol	del.t	condName
FALSE	e	NA	NA	GSM5604194
FALSE	e	NA	NA	GSM5604195
FALSE	e	NA	NA	GSM5604196
FALSE	e	NA	NA	GSM5604197
FALSE	e	NA	NA	GSM5604198
FALSE	e	NA	NA	GSM5604199
FALSE	e	NA	NA	GSM5604200
FALSE	e	NA	NA	GSM5604201
FALSE	e	NA	NA	GSM5604202
FALSE	e	NA	NA	GSM5604203
FALSE	e	NA	NA	GSM5604204
FALSE	e	NA	NA	GSM5604205
FALSE	e	NA	NA	GSM5604206
FALSE	e	NA	NA	GSM5604207
FALSE	e	NA	NA	GSM5604208
FALSE	e	NA	NA	GSM5604209
FALSE	e	NA	NA	GSM5604210
FALSE	e	NA	NA	GSM5604211
FALSE	e	NA	NA	GSM5604212
FALSE	e	NA	NA	GSM5604213
FALSE	e	NA	NA	GSM5604214
FALSE	e	NA	NA	GSM5604215
FALSE	e	NA	NA	GSM5604216
FALSE	e	NA	NA	GSM5604217
FALSE	e	NA	NA	GSM5604218
FALSE	e	NA	NA	GSM5604219
FALSE	e	NA	NA	GSM5604220
FALSE	e	NA	NA	GSM5604221
FALSE	e	NA	NA	GSM5604222
FALSE	e	NA	NA	GSM5604223
FALSE	e	NA	NA	GSM5604224
FALSE	e	NA	NA	GSM5604225
FALSE	e	NA	NA	GSM5604226
FALSE	e	NA	NA	GSM5604227
FALSE	e	NA	NA	GSM5604228
FALSE	e	NA	NA	GSM5604229
FALSE	e	NA	NA	GSM5604230
FALSE	e	NA	NA	GSM5604231
FALSE	e	NA	NA	GSM5604232
FALSE	e	NA	NA	GSM5604233
FALSE	e	NA	NA	GSM5604234
FALSE	e	NA	NA	GSM5604235
FALSE	e	NA	NA	GSM5604236
FALSE	e	NA	NA	GSM5604237
FALSE	e	NA	NA	GSM5604238
FALSE	e	NA	NA	GSM5604239
FALSE	e	NA	NA	GSM5604240
FALSE	e	NA	NA	GSM5604241
FALSE	e	NA	NA	GSM5604242
FALSE	e	NA	NA	GSM5604243
FALSE	e	NA	NA	GSM5604244
FALSE	e	NA	NA	GSM5604245
FALSE	e	NA	NA	GSM5604246
FALSE	e	NA	NA	GSM5604247
FALSE	e	NA	NA	GSM5604248
FALSE	e	NA	NA	GSM5604249
FALSE	e	NA	NA	GSM5604250
FALSE	e	NA	NA	GSM5604251
FALSE	e	NA	NA	GSM5604252
FALSE	e	NA	NA	GSM5604253
FALSE	e	NA	NA	GSM5604254
FALSE	e	NA	NA	GSM5604255
FALSE	e	NA	NA	GSM5604256
FALSE	e	NA	NA	GSM5604257
FALSE	e	NA	NA	GSM5604258
FALSE	e	NA	NA	GSM5604259
FALSE	e	NA	NA	GSM5604260
FALSE	e	NA	NA	GSM5604261
FALSE	e	NA	NA	GSM5604262
FALSE	e	NA	NA	GSM5604263
FALSE	e	NA	NA	GSM5604264
FALSE	e	NA	NA	GSM5604265
FALSE	e	NA	NA	GSM5604266
FALSE	e	NA	NA	GSM5604267
FALSE	e	NA	NA	GSM5604268
FALSE	e	NA	NA	GSM5604269
FALSE	e	NA	NA	GSM5604270
FALSE	e	NA	NA	GSM5604271
FALSE	e	NA	NA	GSM5604272
FALSE	e	NA	NA	GSM5604273
FALSE	e	NA	NA	GSM5604274
FALSE	e	NA	NA	GSM5604275
FALSE	e	NA	NA	GSM5604276
FALSE	e	NA	NA	GSM5604277
FALSE	e	NA	NA	GSM5604278
FALSE	e	NA	NA	GSM5604279
FALSE	e	NA	NA	GSM5604280
FALSE	e	NA	NA	GSM5604281
FALSE	e	NA	NA	GSM5604282
FALSE	e	NA	NA	GSM5604283
FALSE	e	NA	NA	GSM5604284
FALSE	e	NA	NA	GSM5604285
FALSE	e	NA	NA	GSM5604286
FALSE	e	NA	NA	GSM5604287
FALSE	e	NA	NA	GSM5604288
